School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences,School Year
Ellington School of the Arts,555,276,127,72,31,8/31/19
Excel Academy,378,146,140,54,20,8/31/19
Garfield ES,259,142,75,20,0,8/31/19
Garrison ES,232,121,24,0,0,8/31/19
H.D. Cooke ES,347,191,51,18,0,8/31/19
Hardy MS,491,260,29,0,0,8/31/19
Hart MS,473,288,91,31,10,8/31/19
Hearst ES,307,158,10,0,0,8/31/19
Hendley ES,325,157,91,41,0,8/31/19
Houston ES,213,114,43,22,11,8/31/19
Hyde-Addison ES,325,177,37,0,0,8/31/19
Ida B. Wells MS,195,96,34,25,0,8/31/19
J.O. Wilson ES,375,179,100,28,0,8/31/19
Janney ES,704,354,0,0,0,8/31/19
Jefferson MS Academy,370,187,84,41,19,8/31/19
Johnson John Hayden MS,360,103,119,80,48,8/31/19
Kelly Miller MS,582,118,139,130,184,8/31/19
Ketcham ES,273,123,74,42,12,8/31/19
Key ES,353,201,10,0,0,8/31/19
Kimball ES,349,179,94,45,11,8/31/19
King M.L. ES,259,103,86,39,10,8/31/19
Kramer MS,244,57,63,56,60,8/31/19
Lafayette ES,872,328,0,0,0,8/31/19
Langdon ES,317,177,45,14,10,8/31/19
Langley ES,244,107,66,37,13,8/31/19
LaSalle-Backus EC,320,179,45,21,10,8/31/19
Lawrence E. Boone ES,337,218,60,14,0,8/31/19
Leckie EC,435,250,97,33,0,8/31/19
Ludlow-Taylor ES,355,239,33,0,0,8/31/19
Luke Moore Alternative HS,159,12,10,33,98,8/31/19
MacFarland MS,591,303,105,77,28,8/31/19
Malcolm X ES @ Green,184,85,73,22,0,8/31/19
Mann ES,396,126,0,0,0,8/31/19
Marie Reed ES,376,214,38,0,0,8/31/19
Maury ES,382,190,19,0,0,8/31/19
McKinley MS,275,89,68,64,42,8/31/19
McKinley Technology HS,650,410,113,34,0,8/31/19
Miner ES,270,148,58,19,0,8/31/19
Moten ES,246,116,56,43,17,8/31/19
Murch ES,585,303,25,0,0,8/31/19
Nalle ES,279,156,73,20,0,8/31/19
Noyes ES,193,124,16,0,0,8/31/19
Oyster-Adams Bilingual,698,372,32,0,0,8/31/19
Patterson ES,343,166,123,21,17,8/31/19
Payne ES,255,141,46,20,0,8/31/19
Peabody ES,87,56,14,0,0,8/31/19
Phelps ACE HS,250,162,28,15,0,8/31/19
Plummer ES,248,113,62,46,0,8/31/19
Powell ES,457,247,20,0,0,8/31/19
Randle Highlands ES,286,197,0,0,0,8/31/19
Raymond EC,447,288,84,20,11,8/31/19
River Terrace 69,21,14,13,14,,8/31/19
Ron Brown High School,254,51,54,59,86,8/31/19
Roosevelt High School,762,169,132,150,289,8/31/19
Roosevelt STAY,224,0,15,34,163,8/31/19
Ross ES,164,90,0,0,0,8/31/19
Savoy ES,231,91,74,40,0,8/31/19
School Without Walls HS,594,292,31,11,0,8/31/19
School-Within-School @ Goding,244,145,17,0,0,8/31/19
Seaton ES,305,177,27,11,,8/31/19
0 Shepherd ES,318,168,0,0,0,8/31/19
Simon ES,229,111,67,24,0,8/31/19
Smothers ES,195,100,55,11,0,8/31/19
Sousa MS,314,135,75,68,26,8/31/19
Stanton ES,367,132,115,62,16,8/31/19
Stoddert ES,489,263,27,0,0,8/31/19
Stuart-Hobson MS,502,313,53,25,14,8/31/19
SWW @ Francis Stevens,489,264,43,22,0,8/31/19
Takoma EC,448,238,53,24,10,8/31/19
Thomas ES,267,135,60,45,10,8/31/19
Thomson ES,255,120,22,0,0,8/31/19
Truesdell EC,492,283,71,35,0,8/31/19
Tubman ES,520,295,86,45,11,8/31/19
Turner ES,441,174,127,85,23,8/31/19
Tyler ES,416,272,37,17,0,8/31/19
Van Ness ES,258,147,38,0,0,8/31/19
Walker-Jones EC,375,204,80,29,10,8/31/19
Washington Metropolitan HS,149,0,0,16,27,8/31/19
Watkins ES,463,283,0,0,0,8/31/19
West EC,280,154,47,26,13,8/31/19
Wheatley EC,296,174,51,30,0,8/31/19
Whittier EC,308,163,57,26,19,8/31/19
Wilson HS,1855,969,345,205,169,8/31/19
H.D Woodson HS,510,67,84,160,196,8/31/19
Youth Services Center,106,29,0,0,0,8/31/19
Aiton ES,172,20,28,48,76,8/31/20
Amidon-Bowen ES,260,102,57,26,48,8/31/20
Anacostia HS,309,28,21,64,190,8/31/20
Ballou HS,633,78,68,131,330,8/31/20
Ballou STAY,90,0,0,0,70,8/31/20
Bancroft ES,539,286,86,48,21,8/31/20
Bard High School Early College DC,265,140,41,29,16,8/31/20
Barnard ES,490,204,50,42,72,8/31/20
Beers ES,386,100,61,63,119,8/31/20
Benjamin Banneker HS,550,258,53,12,0,8/31/20
Brent ES,371,222,40,11,0,8/31/20
Brightwood EC,557,228,75,59,53,8/31/20
Brookland MS,359,203,103,13,27,8/31/20
Browne EC,350,142,102,31,61,8/31/20
Bruce-Monroe ES @ Park View,384,144,76,72,33,8/31/20
Bunker Hill ES,159,67,19,11,28,8/31/20
Burroughs ES,202,79,42,22,39,8/31/20
Burrville ES,215,17,31,38,127,8/31/20
C.W. Harris ES,201,64,49,31,53,8/31/20
Cap Hill Montessori @ Logan,263,74,65,43,35,8/31/20
Cardozo EC,584,110,80,123,248,8/31/20
Cleveland ES,234,78,41,51,45,8/31/20
Columbia Heights EC (CHEC),1436,395,245,278,414,8/31/20
Coolidge HS,563,91,71,100,283,8/31/20
Deal MS,1496,726,199,76,38,8/31/20
Dorothy L.Height ES,339,127,66,41,56,8/31/20
Drew ES,181,30,18,26,103,8/31/20
Dunbar HS,674,81,74,127,381,8/31/20
Eastern HS,705,118,101,118,329,8/31/20
